世界名,时间,玩家名,玩家ID,容器名,物品名,物品代码,数量
安全世界,2021-09-20 00:52,Warlock,KU_VSloxXfz,龙鳞宝箱,可靠的胶布,sewing_tape,-2
安全世界,2021-09-20 16:00,我是qq,KU_vCuBTOFZ,龙鳞宝箱,犬牙,houndstooth,-40
安全世界,2021-09-20 16:01,我是qq,KU_vCuBTOFZ,龙鳞宝箱,采下的芦苇,cutreeds,-9
安全世界,2021-09-20 16:02,我是qq,KU_vCuBTOFZ,龙鳞宝箱,犬牙,houndstooth,40
宜居世界,2021-09-20 00:05,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,1
宜居世界,2021-09-20 00:05,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,1
宜居世界,2021-09-20 00:11,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,-1
宜居世界,2021-09-20 00:16,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,1
宜居世界,2021-09-20 00:16,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,-1
宜居世界,2021-09-20 00:23,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,1
宜居世界,2021-09-20 00:26,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,-1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 00:33,专车司机小千层,KU_0vPtVpg3,菌伞灯,圣诞灯,winter_ornament_light3,1
宜居世界,2021-09-20 01:02,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,1
宜居世界,2021-09-20 01:02,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,-1
宜居世界,2021-09-20 01:07,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,1
宜居世界,2021-09-20 01:07,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,-1
宜居世界,2021-09-20 01:14,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,1
宜居世界,2021-09-20 01:14,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,-1
宜居世界,2021-09-20 01:14,我是qq,KU_vCuBTOFZ,龙鳞宝箱,乌鸦,crow,-1
宜居世界,2021-09-20 01:15,我是qq,KU_vCuBTOFZ,龙鳞宝箱,乌鸦,crow,1
宜居世界,2021-09-20 01:15,我是qq,KU_vCuBTOFZ,龙鳞宝箱,化石碎片,fossil_piece,-8
宜居世界,2021-09-20 01:31,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,1
宜居世界,2021-09-20 01:33,Mokita,KU_7A4ESdZn,龙鳞宝箱,暖石,heatrock,1
宜居世界,2021-09-20 01:44,我是qq,KU_vCuBTOFZ,龙鳞宝箱,采下的草,cutgrass,-40
宜居世界,2021-09-20 15:56,Bluelue,KU_ceFdllJd,龙鳞宝箱,采下的草,cutgrass,-40
宜居世界,2021-09-20 15:56,Bluelue,KU_ceFdllJd,龙鳞宝箱,采下的草,cutgrass,-40
宜居世界,2021-09-20 15:56,Bluelue,KU_ceFdllJd,龙鳞宝箱,采下的草,cutgrass,-40
宜居世界,2021-09-20 15:56,Bluelue,KU_ceFdllJd,龙鳞宝箱,采下的草,cutgrass,-40
宜居世界,2021-09-20 15:56,Bluelue,KU_ceFdllJd,龙鳞宝箱,采下的草,cutgrass,-40
宜居世界,2021-09-20 15:56,Bluelue,KU_ceFdllJd,龙鳞宝箱,采下的草,cutgrass,-40
宜居世界,2021-09-20 17:16,亭,KU_54sjc7tj,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 17:24,蓝莓,KU_UnXy3ua0,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 17:24,蓝莓,KU_UnXy3ua0,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 17:25,蓝莓,KU_UnXy3ua0,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 17:25,蓝莓,KU_UnXy3ua0,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 17:27,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 17:27,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 17:30,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 17:30,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 17:32,蓝莓,KU_UnXy3ua0,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 17:32,蓝莓,KU_UnXy3ua0,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 17:37,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 17:37,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 17:39,蓝莓,KU_UnXy3ua0,龙鳞宝箱,冰魔杖,icestaff,-1
宜居世界,2021-09-20 17:41,蓝莓,KU_UnXy3ua0,龙鳞宝箱,采下的草,cutgrass,-4
宜居世界,2021-09-20 17:41,蓝莓,KU_UnXy3ua0,龙鳞宝箱,采下的草,cutgrass,1
宜居世界,2021-09-20 17:41,蓝莓,KU_UnXy3ua0,龙鳞宝箱,采下的草,cutgrass,-1
宜居世界,2021-09-20 17:41,蓝莓,KU_UnXy3ua0,龙鳞宝箱,采下的草,cutgrass,3
宜居世界,2021-09-20 17:43,蓝莓,KU_UnXy3ua0,龙鳞宝箱,冰魔杖,icestaff,1
宜居世界,2021-09-20 17:58,Mokita,KU_7A4ESdZn,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 18:00,蓝莓,KU_UnXy3ua0,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 18:00,蓝莓,KU_UnXy3ua0,冰箱,腐烂物,spoiled_food,-13
宜居世界,2021-09-20 18:00,蓝莓,KU_UnXy3ua0,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 18:01,Mokita,KU_7A4ESdZn,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 18:01,Mokita,KU_7A4ESdZn,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 18:01,Mokita,KU_7A4ESdZn,冰箱,腐烂物,spoiled_food,-10
宜居世界,2021-09-20 18:01,Mokita,KU_7A4ESdZn,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 18:01,蓝莓,KU_UnXy3ua0,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 18:01,蓝莓,KU_UnXy3ua0,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 18:04,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 18:06,蓝莓,KU_UnXy3ua0,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 18:06,Mokita,KU_7A4ESdZn,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 18:06,Mokita,KU_7A4ESdZn,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 18:16,我是qq,KU_vCuBTOFZ,箱子,粪肥,poop,-1
宜居世界,2021-09-20 18:23,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 18:39,Bambi,KU_SIyU7oUm,冰箱,蝴蝶翅膀,butterflywings,40
宜居世界,2021-09-20 18:39,Bambi,KU_SIyU7oUm,冰箱,蝴蝶翅膀,butterflywings,40
宜居世界,2021-09-20 18:39,Bambi,KU_SIyU7oUm,冰箱,蝴蝶翅膀,butterflywings,10
宜居世界,2021-09-20 18:43,Bambi,KU_SIyU7oUm,冰箱,蜂蜜,honey,32
宜居世界,2021-09-20 18:43,熟悉的陌生人,KU_HqKLtUPG,冰箱,蜂蜜,honey,32
宜居世界,2021-09-20 18:43,Bambi,KU_SIyU7oUm,冰箱,蝴蝶翅膀,butterflywings,-1
宜居世界,2021-09-20 18:49,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 18:54,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 18:54,我是qq,KU_vCuBTOFZ,冰箱,黄油,butter,1
宜居世界,2021-09-20 18:54,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 18:55,我是qq,KU_vCuBTOFZ,冰箱,蜂蜜,honey,-32
宜居世界,2021-09-20 18:58,Mokita,KU_7A4ESdZn,冰箱,黄油,butter,-1
宜居世界,2021-09-20 18:58,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 18:58,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 18:58,Mokita,KU_7A4ESdZn,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 18:59,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,20
宜居世界,2021-09-20 19:03,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 19:03,我是qq,KU_vCuBTOFZ,冰箱,暖石,heatrock,-1
宜居世界,2021-09-20 19:03,RTDUDU,KU_V_2d0zby,冰箱,蝴蝶翅膀,butterflywings,19
宜居世界,2021-09-20 19:03,RTDUDU,KU_V_2d0zby,冰箱,小肉,smallmeat,1
宜居世界,2021-09-20 19:04,RTDUDU,KU_V_2d0zby,冰箱,种子,seeds,2
宜居世界,2021-09-20 19:08,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-19
宜居世界,2021-09-20 19:09,RTDUDU,KU_V_2d0zby,冰箱,蝴蝶翅膀,butterflywings,2
宜居世界,2021-09-20 19:09,RTDUDU,KU_V_2d0zby,冰箱,蝴蝶翅膀,butterflywings,-1
宜居世界,2021-09-20 19:09,RTDUDU,KU_V_2d0zby,冰箱,蝴蝶翅膀,butterflywings,5
宜居世界,2021-09-20 19:09,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,-5
宜居世界,2021-09-20 19:10,RTDUDU,KU_V_2d0zby,冰箱,蝴蝶翅膀,butterflywings,3
宜居世界,2021-09-20 19:18,Bambi,KU_SIyU7oUm,冰箱,蝴蝶翅膀,butterflywings,-1
宜居世界,2021-09-20 19:18,Bambi,KU_SIyU7oUm,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 19:18,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 19:18,Bambi,KU_SIyU7oUm,冰箱,蝴蝶翅膀,butterflywings,26
宜居世界,2021-09-20 19:18,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,26
宜居世界,2021-09-20 19:18,Bambi,KU_SIyU7oUm,冰箱,蝴蝶翅膀,butterflywings,26
宜居世界,2021-09-20 19:18,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,26
宜居世界,2021-09-20 19:25,黢黑,KU_MAFS6p_H,龙鳞宝箱,风干肉,meat_dried,20
宜居世界,2021-09-20 19:25,黢黑,KU_MAFS6p_H,龙鳞宝箱,风干肉,meat_dried,20
宜居世界,2021-09-20 19:25,黢黑,KU_MAFS6p_H,龙鳞宝箱,风干肉,meat_dried,20
宜居世界,2021-09-20 19:25,黢黑,KU_MAFS6p_H,龙鳞宝箱,风干肉,meat_dried,20
宜居世界,2021-09-20 19:27,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,13
宜居世界,2021-09-20 19:27,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 19:27,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-13
宜居世界,2021-09-20 19:27,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 19:28,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,9
宜居世界,2021-09-20 19:30,Mokita,KU_7A4ESdZn,冰箱,小肉,smallmeat,-1
宜居世界,2021-09-20 19:34,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,9
宜居世界,2021-09-20 19:42,亭,KU_54sjc7tj,冰箱,蝴蝶翅膀,butterflywings,18
宜居世界,2021-09-20 19:42,亭,KU_54sjc7tj,冰箱,黄油,butter,1
宜居世界,2021-09-20 19:42,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,-18
宜居世界,2021-09-20 19:42,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,10
宜居世界,2021-09-20 19:42,Mokita,KU_7A4ESdZn,冰箱,黄油,butter,-1
宜居世界,2021-09-20 19:43,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 19:43,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 19:51,亭,KU_54sjc7tj,冰箱,蝴蝶翅膀,butterflywings,21
宜居世界,2021-09-20 19:55,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-12
宜居世界,2021-09-20 19:55,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,3
宜居世界,2021-09-20 19:55,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-3
宜居世界,2021-09-20 19:55,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,-3
宜居世界,2021-09-20 19:55,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 19:55,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 19:55,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,32
宜居世界,2021-09-20 19:55,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,32
宜居世界,2021-09-20 19:55,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-32
宜居世界,2021-09-20 19:55,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,-32
宜居世界,2021-09-20 19:55,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,29
宜居世界,2021-09-20 19:55,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,29
宜居世界,2021-09-20 19:57,971768332,KU_pvwb-YlE,冰箱,暖石,heatrock,1
宜居世界,2021-09-20 20:02,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 20:02,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,30
宜居世界,2021-09-20 20:06,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,30
宜居世界,2021-09-20 20:12,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,-30
宜居世界,2021-09-20 20:12,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,17
宜居世界,2021-09-20 20:15,熟悉的陌生人,KU_HqKLtUPG,冰箱,蝴蝶翅膀,butterflywings,31
宜居世界,2021-09-20 20:16,971768332,KU_pvwb-YlE,龙鳞宝箱,怪物肉干,monstermeat_dried,20
宜居世界,2021-09-20 20:16,971768332,KU_pvwb-YlE,龙鳞宝箱,怪物肉干,monstermeat_dried,-20
宜居世界,2021-09-20 20:16,971768332,KU_pvwb-YlE,冰箱,怪物肉干,monstermeat_dried,20
宜居世界,2021-09-20 20:17,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-32
宜居世界,2021-09-20 20:17,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,17
宜居世界,2021-09-20 20:20,Mokita,KU_7A4ESdZn,冰箱,怪物肉,monstermeat,2
宜居世界,2021-09-20 20:20,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 20:20,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 20:25,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-31
宜居世界,2021-09-20 20:25,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,12
宜居世界,2021-09-20 20:30,千层套路,KU_0vPtVpg3,冰箱,蝴蝶翅膀,butterflywings,-40
宜居世界,2021-09-20 20:31,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,16
宜居世界,2021-09-20 20:31,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-16
宜居世界,2021-09-20 20:32,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,10
宜居世界,2021-09-20 20:32,西本文代.,KU_2TeWmK-K,菌伞灯,圣诞灯,winter_ornament_light4,-1
宜居世界,2021-09-20 20:32,西本文代.,KU_2TeWmK-K,菌伞灯,圣诞灯,winter_ornament_light4,1
宜居世界,2021-09-20 20:32,西本文代.,KU_2TeWmK-K,菌伞灯,圣诞灯,winter_ornament_light4,-1
宜居世界,2021-09-20 20:32,西本文代.,KU_2TeWmK-K,菌伞灯,圣诞灯,winter_ornament_light4,1
宜居世界,2021-09-20 20:32,西本文代.,KU_2TeWmK-K,菌伞灯,圣诞灯,winter_ornament_light4,-1
宜居世界,2021-09-20 20:33,西本文代.,KU_2TeWmK-K,菌伞灯,圣诞灯,winter_ornament_light4,1
宜居世界,2021-09-20 20:46,Mokita,KU_7A4ESdZn,冰箱,蝴蝶翅膀,butterflywings,-14
宜居世界,2021-09-20 20:50,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,40
宜居世界,2021-09-20 20:50,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,40
宜居世界,2021-09-20 20:50,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,15
宜居世界,2021-09-20 20:50,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,40
宜居世界,2021-09-20 20:50,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,40
宜居世界,2021-09-20 20:50,971768332,KU_pvwb-YlE,冰箱,浆果,berries,40
宜居世界,2021-09-20 20:54,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,-33
宜居世界,2021-09-20 20:57,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,-40
宜居世界,2021-09-20 20:57,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,3
宜居世界,2021-09-20 21:00,971768332,KU_pvwb-YlE,冰箱,浆果,berries,36
宜居世界,2021-09-20 21:00,971768332,KU_pvwb-YlE,冰箱,浆果,berries,36
宜居世界,2021-09-20 21:03,帕克,KU_tvX4yJ-x,冰箱,浆果,berries,-40
宜居世界,2021-09-20 21:03,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,20
宜居世界,2021-09-20 21:03,971768332,KU_pvwb-YlE,冰箱,浆果,berries,-36
宜居世界,2021-09-20 21:03,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,-3
宜居世界,2021-09-20 21:03,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,2
宜居世界,2021-09-20 21:04,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,-40
宜居世界,2021-09-20 21:04,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,-20
宜居世界,2021-09-20 21:04,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,-22
宜居世界,2021-09-20 21:04,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,7
宜居世界,2021-09-20 21:04,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,-40
宜居世界,2021-09-20 21:04,971768332,KU_pvwb-YlE,冰箱,蜂蜜,honey,-40
宜居世界,2021-09-20 21:04,971768332,KU_pvwb-YlE,冰箱,浆果,berries,-40
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,蜂王浆,royal_jelly,5
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,蜂王浆,royal_jelly,-6
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,15
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,-16
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,14
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,-15
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,-14
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,13
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,蜂王浆,royal_jelly,-5
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,蜂王浆,royal_jelly,4
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,12
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,-13
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,-12
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,11
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,-11
宜居世界,2021-09-20 21:06,Captain_SOAP,KU_dwt6dUe0,冰箱,浆果,berries,10
宜居世界,2021-09-20 21:07,Captain_SOAP,KU_dwt6dUe0,箱子,石墙,wall_stone_item,-1
宜居世界,2021-09-20 21:07,Captain_SOAP,KU_dwt6dUe0,箱子,石砖,cutstone,-6
宜居世界,2021-09-20 21:07,Captain_SOAP,KU_dwt6dUe0,箱子,石砖,cutstone,4
宜居世界,2021-09-20 21:07,Captain_SOAP,KU_dwt6dUe0,箱子,石墙,wall_stone_item,4
宜居世界,2021-09-20 21:07,Captain_SOAP,KU_dwt6dUe0,箱子,腐烂物,spoiled_food,-1
宜居世界,2021-09-20 21:07,Captain_SOAP,KU_dwt6dUe0,箱子,腐烂物,spoiled_food,-4
宜居世界,2021-09-20 21:07,Captain_SOAP,KU_dwt6dUe0,箱子,腐烂物,spoiled_food,20
宜居世界,2021-09-20 21:07,Captain_SOAP,KU_dwt6dUe0,箱子,腐烂物,spoiled_food,-20
